1<,>bj<,>39.908065<,>116.411502<,>Beijing<,>北京<,>北京<,>北京<,>베이징<,>Пекин<,>Pékin<,>Pekín<,>Peking<,>Pequim<,>Pechino
1<,>sh<,>31.232844<,>121.47537<,>Shanghai<,>上海<,>上海<,>上海<,>상하이<,>Шанхай<,>Shanghai<,>Shanghai<,>Shanghai<,>Xangai<,>Shanghai
1<,>gz<,>23.111459<,>113.324103<,>Guangzhou<,>广州<,>廣州<,>広州<,>광주<,>Гуанчжоу<,>Guangzhou<,>Guangzhou<,>Guangzhou<,>Guangzhou<,>Guangzhou
1<,>sz<,>22.541455<,>114.052827<,>Shenzhen<,>深圳<,>深圳<,>深セン<,>심천<,>Шэньчжэнь<,>Shenzhen<,>Shenzhen<,>Shenzhen<,>Shenzhen<,>Shenzhen
2<,>hk<,>22.284659<,>114.158185<,>Hong Kong<,>香港<,>香港<,>香港<,>홍콩<,>Гонконг<,>Hong Kong<,>Hong Kong<,>Hongkong<,>Hong Kong<,>Hong Kong
2<,>tb<,>25.046256<,>121.51753<,>Taipei<,>台北<,>台北<,>台北<,>타이페이<,>Тайбэй<,>Taipei<,>Taipei<,>Taipei<,>Taipei<,>Taipei
3<,>cs<,>28.195185<,>112.976357<,>Changsha<,>长沙<,>長沙<,>長沙<,>창사<,>Чанша<,>Changsha<,>Changsha<,>Changsha<,>Changsha<,>Changsha
3<,>cd<,>30.658071<,>104.065798<,>Chengdu<,>成都<,>成都<,>成都<,>청두<,>Чэнду<,>Chengdu<,>Chengdu<,>Chengdu<,>Chengdu<,>Chengdu
3<,>cq<,>29.552992<,>106.548273<,>Chongqing<,>重庆<,>重慶<,>重慶<,>충칭<,>Чунцин<,>Chongqing<,>Chongqing<,>Chongqing<,>Chongqing<,>Chongqing
3<,>hz<,>30.279156<,>120.165666<,>Hangzhou<,>杭州<,>杭州<,>杭州<,>항저우<,>Ханчжоу<,>Hangzhou<,>Hangzhou<,>Hangzhou<,>Hangzhou<,>Hangzhou
3<,>nj<,>32.040995<,>118.78408<,>Nanjing<,>南京<,>南京<,>南京<,>난징<,>Нанкин<,>Nanjing<,>Nanjing<,>Nanjing<,>Nanjing<,>Nanjing
3<,>nb<,>29.873025<,>121.548731<,>Ningbo<,>宁波<,>寧波<,>寧波<,>닝보<,>Нинбо<,>Ningbo<,>Ningbo<,>Ningbo<,>Ningbo<,>Ningbo
3<,>sy<,>41.792353<,>123.433386<,>Shenyang<,>沈阳<,>瀋陽<,>瀋陽<,>심양<,>Шэньян<,>Shenyang<,>Shenyang<,>Shenyang<,>Shenyang<,>Shenyang
3<,>su<,>31.29273<,>120.549292<,>Suzhou<,>苏州<,>蘇州<,>蘇州<,>소주<,>Сучжоу<,>Suzhou<,>Suzhou<,>Suzhou<,>Suzhou<,>Suzhou
3<,>tj<,>39.137775<,>117.21161<,>Tianjin<,>天津<,>天津<,>天津<,>천진<,>Тяньцзинь<,>Tianjin<,>Tianjin<,>Tianjin<,>Tianjin<,>Tianjin
3<,>wh<,>30.585299<,>114.286584<,>Wuhan<,>武汉<,>武漢<,>武漢<,>무한<,>Ухань<,>Wuhan<,>Wuhan<,>Wuhan<,>Wuhan<,>Wuhan
3<,>wx<,>31.589211<,>120.306895<,>Wuxi<,>无锡<,>無錫<,>無錫<,>무석<,>Уси<,>Wuxi<,>Wuxi<,>Wuxi<,>Wuxi<,>Wuxi
3<,>xa<,>34.269878<,>108.947143<,>Xi'an<,>西安<,>西安<,>西安<,>서안<,>Сиань<,>Xi'an<,>Xi'an<,>Xi'an<,>Xi'an<,>Xi'an
3<,>zz<,>34.746867<,>113.655446<,>Zhengzhou<,>郑州<,>鄭州<,>鄭州<,>정주<,>Чжэнчжоу<,>Zhengzhou<,>Zhengzhou<,>Zhengzhou<,>Zhengzhou<,>Zhengzhou
